date,column,livesheet,code,difference
2024-12-15,LDZ,706.9172327478551,806.58,99.66276725214493
2024-12-16,LDZ,722.8033801203712,710.36,12.443380120371216
2024-12-17,LDZ,717.5274826657146,708.26,9.267482665714624
2024-12-18,LDZ,655.7722313665591,772.94,117.16776863344091
2024-12-19,LDZ,710.9178964637771,811.14,100.2221035362229
2024-12-20,LDZ,743.1419838002482,815.44,72.29801619975183
2024-12-21,LDZ,673.8379840108499,850.04,176.20201598915003
2024-12-22,LDZ,724.9691193422213,835.69,110.72088065777871
2024-12-23,LDZ,762.2880142299497,836.61,74.32198577005033
2024-12-24,LDZ,692.5352024240548,911.3,218.76479757594518
2024-12-25,LDZ,638.4789716566778,882.3,243.82102834332215
2024-12-26,LDZ,681.3154587647625,816.74,135.42454123523748
2024-12-27,LDZ,767.1569604687905,824.41,57.253039531209424
2024-12-28,LDZ,779.6512001485385,846.18,66.52879985146149
2024-12-29,LDZ,766.0618104815737,820.41,54.34818951842624
2024-12-30,LDZ,777.6377681860156,831.22,53.582231813984436
2024-12-31,LDZ,772.2742043565726,880.6,108.32579564342745
2025-01-01,LDZ,715.3634450635017,853.65,138.2865549364983
2025-01-02,LDZ,831.2625760123505,817.27,13.992576012350469
2025-01-03,LDZ,887.0005994475358,772.99,114.01059944753581
2025-01-04,LDZ,872.5164496185034,704.9,167.61644961850345
2025-01-05,LDZ,773.2205488633938,643.54,129.68054886339382
2025-01-06,LDZ,774.4640926197089,669.24,105.22409261970893
2025-01-07,LDZ,854.9004415131242,652.45,202.45044151312413
2025-01-08,LDZ,893.7851840733452,646.41,247.37518407334528
2025-01-09,LDZ,904.2848214192696,671.41,232.87482141926967
2025-01-10,LDZ,922.6058401346854,711.71,210.8958401346854
2025-01-11,LDZ,909.6214939370482,742.26,167.36149393704818
2025-01-12,LDZ,904.5816594729893,718.7,185.8816594729892
2025-01-13,LDZ,984.7592865941627,735.8,248.9592865941628
2025-01-14,LDZ,964.7777426202321,790.69,174.087742620232
2025-01-15,LDZ,901.3120004953443,795.27,106.04200049534427
2025-01-16,LDZ,898.8827193845235,776.28,122.60271938452354
2025-01-17,LDZ,921.3482605833643,789.54,131.80826058336436
2025-01-18,LDZ,894.4962966046713,820.63,73.86629660467133
2025-01-19,LDZ,899.6288096199603,749.96,149.66880961996026
2025-01-20,LDZ,972.9673355653964,729.65,243.31733556539643
2025-01-21,LDZ,945.5076543514265,794.33,151.17765435142644
2025-01-22,LDZ,906.1105731198654,786.77,119.34057311986544
2025-01-23,LDZ,843.7892774805501,759.61,84.17927748055013
2025-01-24,LDZ,776.1769548802604,790.81,14.633045119739563
2025-01-25,LDZ,705.2817070232749,816.31,111.02829297672508
2025-01-26,LDZ,724.0084509258069,786.62,62.611549074193135
2025-01-27,LDZ,722.0246160885207,796.92,74.89538391147926
2025-01-28,LDZ,715.8035484660804,870.36,154.55645153391959
2025-01-29,LDZ,731.163625851678,864.5,133.33637414832197
2025-01-30,LDZ,782.1630591944612,828.92,46.75694080553876
2025-01-31,LDZ,814.3439541318999,698.23,116.11395413189985
2025-02-01,LDZ,777.9542260342612,576.58,201.37422603426114
2025-02-02,LDZ,792.5315122735255,550.07,242.4615122735255
2025-02-03,LDZ,860.5609626220316,521.65,338.91096262203166
2025-02-04,LDZ,860.9520268560215,545.35,315.60202685602144
2025-02-05,LDZ,853.2892745147705,572.74,280.54927451477045
2025-02-06,LDZ,859.0915567448415,616.67,242.4215567448415
2025-02-07,LDZ,884.6515794193401,637.97,246.6815794193401
2025-02-08,LDZ,810.5270402881206,655.92,154.60704028812063
2025-02-09,LDZ,786.2517550720595,636.97,149.28175507205947
2025-02-10,LDZ,865.4909302203561,621.42,244.0709302203561
2025-02-11,LDZ,854.5394885596536,653.85,200.68948855965357
2025-02-12,LDZ,827.9070279019774,620.53,207.37702790197739
2025-02-13,LDZ,861.8217562824764,573.8,288.0217562824764
2025-02-14,LDZ,887.2028387151025,513.7,373.5028387151025
2025-02-15,LDZ,850.3291116883059,465.56,384.76911168830594
2025-02-16,LDZ,858.8397224647248,400.85,457.98972246472476
2025-02-17,LDZ,937.0316271095297,400.54,536.4916271095296
2025-02-18,LDZ,934.4513272321783,474.66,459.7913272321783
2025-02-19,LDZ,900.3316623688794,539.46,360.87166236887936
2025-02-20,LDZ,761.2276522244454,592.62,168.60765222444536
