Date,France_LDZ,Belgium_LDZ,Italy_LDZ,Italy_Other,Netherlands_LDZ,GB_LDZ,Austria_LDZ,Germany_LDZ,Switzerland_LDZ,Luxembourg_LDZ,Ireland_LDZ,Total_LDZ_Demand
2017-04-09,38.885878,14.128622,46.433052,0.652563,29.041152,92.95,17.127255,75.071286,5.492976,1.776635,7.38,328.939418
2017-04-10,50.568639,19.379707,54.332971,1.659089,41.306412,120.57,21.895432,73.130561,6.146594,1.946725,9.19,400.126129
2017-04-11,57.264495,21.142342,53.039936,0.871663,43.115501,126.18,21.603614,89.609544,6.850011,2.229089,7.05,428.956194
2017-04-12,56.865732,21.682614,52.040555,1.509126,52.313491,131.57,22.23725,87.233091,7.040429,2.083725,8.23,442.806013
2017-04-13,55.980469,21.209523,50.569375,3.012351,47.619314,135.07,21.55725,94.137357,6.506357,1.985543,10.48,448.127541
2017-04-14,53.0448,22.940704,45.97398,1.87618,52.080219,130.29,19.271798,96.937263,5.86053,2.067543,10.01,440.353017
2017-04-15,52.619127,21.916159,38.287215,1.478626,45.054862,121.94,16.594528,97.94908,5.936494,2.059634,7.88,411.715726
2017-04-16,54.761516,21.133524,32.615903,0.764326,47.47186,128.31,17.919072,111.955975,7.465601,1.99618,6.62,431.013957
2017-04-17,62.141799,24.048066,37.651588,-0.440827,51.684492,135.96,20.824524,125.902688,8.7066,2.136271,10.4,479.015201
2017-04-18,80.425789,29.091334,61.543454,1.681853,59.639484,141.39,27.91088,146.272758,11.206197,2.637088,11.75,573.548837
2017-04-19,89.64938,30.464696,73.242079,2.206716,64.628751,137.14,31.919058,161.853105,13.442286,2.738997,11.01,618.295068
2017-04-20,88.626608,27.413426,77.423138,0.562063,52.641582,128.87,31.082695,163.144013,12.743687,2.793815,11.14,596.441027
2017-04-21,72.506479,24.454066,76.024067,2.70497,46.863042,125.87,27.888153,139.571765,10.843316,2.409907,11.14,540.275764
