Date,Total_Gas_to_Power_Demand
2020-02-04,171.33
2020-02-05,226.93
2020-02-06,233.17
2020-02-07,205.38
2020-02-08,141.82
2020-02-09,99.46
2020-02-10,133.72
2020-02-11,134.56
2020-02-12,185.83
2020-02-13,221.48
2020-02-14,189.77
2020-02-15,97.6
2020-02-16,89.93
2020-02-17,150.04
2020-02-18,158.54
2020-02-19,181.04
2020-02-20,165.18
2020-02-21,155.78
2020-02-22,100.47
2020-02-23,105.01
2020-02-24,161.57
2020-02-25,168.06
2020-02-26,199.69
2020-02-27,220.47
2020-02-28,185.14
2020-02-29,99.71
2020-03-01,95.31
2020-03-02,208.11
2020-03-03,229.21
2020-03-04,251.43
2020-03-05,226.14
2020-03-06,209.96
2020-03-07,130.54
2020-03-08,101.11
2020-03-09,195.4
2020-03-10,154.11
2020-03-11,154.99
2020-03-12,131.32
2020-03-13,176.38
2020-03-14,122.12
2020-03-15,109.75
